customer_id,customer_name,city,state,registration_date
C000001,Ijaya Muni,Sirsa,Uttar Pradesh,2023-06-04
C000002,Ijaya Soni,Bahraich,Telangana,2025-07-06
C000003,Ekalinga Mital,Raipur,Andhra Pradesh,2024-07-31
C000004,Nitesh Kohli,Suryapet,Goa,2024-06-24
C000005,Turvi Kata,Udaipur,Goa,2025-05-04
C000006,Ayush Hora,Guntakal,Maharashtra,2024-12-21
C000007,Tanish Jha,Rajkot,Odisha,2022-07-13
C000008,Jasmit Nanda,Berhampore,Bihar,2023-11-24
C000009,Dhriti Rama,Dharmavaram,Bihar,2024-08-15
C000010,Tanvi Gera,Srikakulam,Odisha,2022-05-21
C000011,Dhriti Dalal,Farrukhabad,Bihar,2023-03-22
C000012,Lohit Vaidya,Gurgaon,Punjab,2022-11-02
C000013,Pallavi Grewal,Siwan,Tamil Nadu,2023-02-20
C000014,Vrishti Mani,Gaya,Karnataka,2025-07-02
C000015,Jagrati Andra,Bhavnagar,Gujarat,2024-12-05
C000016,Nilima Swamy,Raiganj,Meghalaya,2023-02-01
C000017,Azaan Kannan,Patna,Himachal Pradesh,2023-07-30
C000018,Om Shankar,Jamalpur,Mizoram,2022-08-17
C000019,Amrita Peri,Gandhidham,Nagaland,2023-07-10
C000020,Harsh Kota,Patna,Manipur,2023-11-25
C000021,Gagan Sarna,Patiala,Gujarat,2026-08-31
C000022,Priya Gandhi,Tiruppur,Uttarakhand,2023-06-04
C000023,Indali Walia,Kavali,Nagaland,2023-02-05
C000024,Brinda Mann,Kottayam,Sikkim,2022-06-22
C000025,Nisha Bhargava,Cuttack,Tamil Nadu,2022-10-17
C000026,Madhav Nagy,Singrauli,Meghalaya,2022-11-15
C000027,Oeshi Prashad,Aurangabad,Rajasthan,2022-06-16
C000028,Yutika Mall,Malda,Meghalaya,2024-06-12
C000029,Girik Shanker,Rajkot,Uttar Pradesh,2026-03-18
C000030,Tejas Sanghvi,Shimla,Himachal Pradesh,2024-05-30
C000031,Geetika De,Tiruvottiyur,Sikkim,2022-01-28
C000032,Hardik Sharaf,Amravati,West Bengal,2023-01-03
C000033,Tanmayi Acharya,Panihati,Tamil Nadu,2022-10-14
C000034,Nathan Mahal,Karimnagar,Himachal Pradesh,2022-05-14
C000035,Noah Ben,Farrukhabad,Telangana,2023-08-28
C000036,Gavin Chandran,Kakinada,Meghalaya,2022-04-30
C000037,Upkaar Venkataraman,Bangalore,Andhra Pradesh,2024-08-02
C000038,Pahal Deo,Madurai,Haryana,2024-12-03
C000039,Harsh Chauhan,Arrah,Jharkhand,2022-10-31
C000040,Kiaan Dhar,Bettiah,Odisha,2021-09-26
C000041,Ria Panchal,Saharanpur,Maharashtra,2025-06-05
C000042,Gabriel Chaudhry,Amravati,Odisha,2024-12-06
